用户ID,性别,年龄,是否会员,常用省份,常用城市
201,男,20,否,浙江,绍兴
202,女,19,否,河南,许昌
203,女,37,否,海南,儋州
204,女,26,否,黑龙江,哈尔滨
205,女,43,是,内蒙古,呼和浩特
206,女,31,否,上海,上海
207,男,43,否,江苏,苏州
208,男,43,是,江苏,无锡
209,女,22,是,安徽,合肥
210,男,34,是,重庆,重庆
211,男,23,否,山东,青岛
212,女,43,是,宁夏,石嘴山
213,女,18,否,广东,佛山
214,男,27,是,广西,柳州
215,女,18,是,浙江,杭州
216,女,41,是,内蒙古,呼和浩特
217,女,19,是,陕西,渭南
218,女,28,是,福建,福州
219,女,18,否,湖南,湘潭
220,男,34,否,福建,泉州
221,女,39,否,安徽,合肥
222,男,30,否,福建,厦门
223,女,25,是,广西,北海
224,男,33,是,海南,三亚
225,女,33,否,陕西,咸阳
226,男,26,否,江西,南昌
227,女,54,否,广西,北海
228,女,23,是,江西,南昌
229,女,27,是,江苏,南通
230,男,43,是,四川,宜宾
231,女,52,否,福建,泉州
232,女,28,否,山东,烟台
233,女,38,否,河北,廊坊
234,女,22,否,湖北,荆州
235,女,23,是,甘肃,酒泉
236,女,24,否,海南,儋州
237,男,34,是,北京,北京
238,男,27,是,辽宁,大连
239,女,28,否,山东,烟台
240,男,25,否,江苏,苏州
241,女,35,是,安徽,蚌埠
242,女,37,否,河南,洛阳
243,女,35,否,黑龙江,齐齐哈尔
244,女,43,是,湖北,武汉
245,男,28,是,湖北,荆州
246,男,20,否,上海,上海
247,男,33,否,新疆,克拉玛依
248,女,28,否,河南,许昌
249,女,38,否,天津,天津
250,女,22,是,吉林,延边
251,男,24,否,广东,深圳
252,男,33,是,辽宁,抚顺
253,女,18,否,江西,南昌
254,男,25,否,上海,上海
255,女,19,否,青海,海东
256,女,31,是,天津,天津
257,女,28,否,云南,丽江
258,女,28,是,福建,泉州
259,男,23,是,贵州,贵阳
260,男,18,是,天津,天津
261,男,28,否,云南,昆明
262,女,23,否,江西,赣州
263,男,62,是,山东,临沂
264,女,20,否,天津,天津
265,女,22,是,山西,临汾
266,男,31,否,广东,深圳
267,女,32,否,上海,上海
268,女,34,是,上海,上海
269,女,25,是,江苏,南京
270,男,28,否,贵州,遵义
271,女,30,否,河北,石家庄
272,男,31,是,内蒙古,鄂尔多斯
273,女,34,否,湖南,株洲
274,男,28,是,重庆,重庆
275,女,52,是,广西,柳州
276,女,22,否,宁夏,银川
277,男,28,是,广东,深圳
278,女,23,否,安徽,安庆
279,男,23,是,青海,西宁
280,女,37,是,上海,上海
281,女,39,否,上海,上海
282,男,62,是,吉林,长春
283,男,31,否,上海,上海
284,男,35,是,新疆,喀什
285,男,29,否,辽宁,沈阳
286,女,19,否,云南,曲靖
287,女,27,否,天津,天津
288,女,21,是,上海,上海
289,女,22,否,湖南,衡阳
290,女,36,是,广东,中山
291,女,26,是,四川,南充
292,男,33,否,湖北,武汉
293,男,30,否,北京,北京
294,男,43,否,青海,西宁
295,女,19,是,湖南,衡阳
296,男,28,否,河北,唐山
297,男,31,是,安徽,蚌埠
298,女,44,是,四川,绵阳
299,男,50,是,天津,天津
300,女,22,是,西藏,拉萨
301,男,29,否,上海,上海
302,男,19,否,黑龙江,哈尔滨
303,女,33,否,甘肃,酒泉
304,男,40,否,吉林,延边
305,女,22,是,青海,海东
306,女,23,否,江西,九江
307,女,34,否,广东,广州
308,女,26,是,海南,海口
309,女,28,否,福建,福州
310,女,29,是,广西,南宁
311,男,33,是,辽宁,抚顺
312,女,27,否,湖南,长沙
313,女,28,是,云南,昆明
314,男,28,是,山东,威海
315,女,34,是,广东,东莞
316,男,30,是,四川,绵阳
317,男,31,否,江西,上饶
318,男,32,是,江苏,常州
319,女,24,是,辽宁,抚顺
320,女,32,是,上海,上海
321,女,20,是,河南,许昌
322,男,29,否,吉林,吉林
323,男,42,否,西藏,拉萨
324,女,35,是,福建,福州
325,男,38,是,云南,丽江
326,男,28,否,黑龙江,齐齐哈尔
327,女,27,是,天津,天津
328,男,24,否,甘肃,天水
329,男,20,否,贵州,安顺
330,男,29,否,福建,福州
331,女,29,否,内蒙古,包头
332,男,42,否,天津,天津
333,男,30,否,四川,乐山
334,女,35,是,安徽,安庆
335,男,25,否,湖南,株洲
336,男,29,是,重庆,重庆
337,女,38,是,上海,上海
338,女,22,是,天津,天津
339,女,41,否,河南,洛阳
340,男,20,否,广东,深圳
341,男,27,是,广西,桂林
342,男,18,否,湖北,荆州
343,男,23,是,辽宁,鞍山
344,男,33,是,湖北,武汉
345,女,28,是,江西,南昌
346,女,27,否,宁夏,银川
347,男,19,是,上海,上海
348,女,31,是,陕西,宝鸡
349,女,19,否,广东,东莞
350,男,31,否,山西,太原
351,女,22,否,四川,绵阳
352,男,37,是,福建,泉州
353,男,39,否,广东,广州
354,女,18,是,青海,西宁
355,女,24,否,福建,泉州
356,男,22,是,内蒙古,呼和浩特
357,女,27,是,宁夏,银川
358,女,19,是,广西,柳州
359,男,24,否,北京,北京
360,女,39,是,辽宁,沈阳
361,女,29,否,浙江,温州
362,女,61,否,辽宁,大连
363,女,22,是,山西,太原
364,男,19,是,宁夏,银川
365,女,40,是,云南,昆明
366,女,22,是,重庆,重庆
367,女,41,否,云南,丽江
368,男,19,是,贵州,贵阳
369,男,30,是,陕西,宝鸡
370,女,18,是,吉林,吉林
371,男,40,是,广西,柳州
372,男,29,否,江苏,常州
373,男,27,是,上海,上海
374,女,26,否,浙江,杭州
375,男,23,是,广东,东莞
376,女,22,是,广西,北海
377,女,19,否,山东,威海
378,女,33,是,上海,上海
379,男,33,是,西藏,拉萨
380,女,53,是,山东,济南
381,男,24,否,上海,上海
382,男,46,是,浙江,绍兴
383,男,31,是,山西,大同
384,女,40,否,北京,北京
385,女,18,是,浙江,宁波
386,女,22,是,广东,中山
387,女,19,否,甘肃,兰州
388,女,41,否,四川,南充
389,男,41,否,宁夏,石嘴山
390,女,22,否,福建,泉州
391,男,54,是,西藏,拉萨
392,女,54,是,辽宁,抚顺
393,男,20,是,内蒙古,呼和浩特
394,女,19,是,上海,上海
395,女,31,否,内蒙古,包头
396,男,44,否,天津,天津
397,男,20,是,上海,上海
398,女,18,否,新疆,乌鲁木齐
399,女,41,否,江苏,常州
400,男,28,是,辽宁,鞍山
401,男,33,否,广东,东莞
402,男,23,否,河北,石家庄
403,男,26,是,广东,佛山
404,女,22,是,福建,漳州
405,女,21,是,浙江,温州
406,男,36,是,福建,漳州
407,女,28,是,上海,上海
408,男,24,是,海南,海口
409,女,24,否,山西,临汾
410,男,22,是,四川,南充
411,男,44,否,黑龙江,哈尔滨
412,男,34,否,海南,海口
413,男,43,否,内蒙古,包头
414,女,32,是,山东,青岛
415,男,30,否,北京,北京
416,女,21,否,天津,天津
417,女,40,是,湖南,长沙
418,男,51,否,贵州,遵义
419,男,33,是,黑龙江,齐齐哈尔
420,男,38,是,北京,北京
421,女,26,否,浙江,金华
422,男,52,否,福建,厦门
423,女,18,是,江西,九江
424,女,33,是,黑龙江,齐齐哈尔
425,男,34,否,浙江,绍兴
426,女,40,是,浙江,温州
427,男,23,否,山西,临汾
428,男,30,否,重庆,重庆
429,女,22,否,新疆,喀什
430,女,25,否,西藏,日喀则
431,女,38,否,重庆,重庆
432,女,19,否,广西,桂林
433,男,39,是,新疆,克拉玛依
434,女,26,是,内蒙古,鄂尔多斯
435,男,28,否,内蒙古,包头
436,女,24,是,西藏,日喀则
437,女,24,否,贵州,遵义
438,男,25,是,山东,青岛
439,男,26,是,湖南,衡阳
440,女,25,否,广西,南宁
441,男,28,是,内蒙古,包头
442,女,29,是,吉林,吉林
443,女,70,是,江苏,常州
444,男,37,是,北京,北京
445,男,29,否,安徽,合肥
446,男,31,是,广东,东莞
447,男,23,否,四川,成都
448,男,26,否,安徽,蚌埠
449,男,34,是,山东,临沂
450,女,52,是,北京,北京
451,男,36,否,重庆,重庆
452,男,40,否,四川,成都
453,男,19,否,江苏,无锡
454,男,30,是,湖北,荆州
455,女,32,否,重庆,重庆
456,男,60,是,甘肃,天水
457,女,44,是,天津,天津
458,女,21,是,上海,上海
459,男,50,否,天津,天津
460,男,31,是,吉林,延边
461,男,32,否,内蒙古,呼和浩特
462,女,19,否,福建,厦门
463,女,42,是,河北,保定
464,女,35,是,湖北,武汉
465,女,43,是,天津,天津
466,男,42,是,贵州,安顺
467,女,36,是,重庆,重庆
468,女,30,否,北京,北京
469,女,22,是,广东,佛山
470,男,36,否,北京,北京
471,女,23,是,海南,儋州
472,男,27,否,广东,佛山
473,女,34,否,贵州,遵义
474,女,52,否,广东,珠海
475,女,43,否,江苏,南通
476,男,30,否,贵州,安顺
477,女,33,是,山西,太原
478,男,25,否,江苏,苏州
479,男,35,是,河南,洛阳
480,女,25,否,湖北,襄阳
481,男,50,否,辽宁,大连
482,女,23,是,宁夏,银川
483,女,20,是,江西,赣州
484,女,37,是,海南,儋州
485,女,34,否,上海,上海
486,男,33,是,辽宁,抚顺
487,男,40,是,山东,临沂
488,男,20,是,新疆,喀什
489,女,46,是,辽宁,鞍山
490,女,33,是,北京,北京
491,男,47,否,贵州,安顺
492,男,23,否,内蒙古,包头
493,男,37,是,广西,南宁
494,男,20,否,江西,九江
495,女,23,是,北京,北京
496,女,46,是,天津,天津
497,女,25,是,陕西,宝鸡
498,女,47,是,新疆,喀什
499,男,18,否,湖北,武汉
500,女,23,否,广东,深圳
501,女,19,否,辽宁,沈阳
502,女,26,是,上海,上海
503,女,50,是,重庆,重庆
504,男,50,是,四川,南充
505,女,41,是,四川,绵阳
506,女,23,是,河北,廊坊
507,女,26,是,安徽,蚌埠
508,男,23,是,上海,上海
509,男,53,是,新疆,喀什
510,男,28,否,江西,赣州
511,男,33,是,浙江,绍兴
512,女,22,否,重庆,重庆
513,男,21,是,山东,青岛
514,男,30,是,甘肃,兰州
515,女,22,否,山东,烟台
516,男,31,是,重庆,重庆
517,女,48,否,福建,泉州
518,女,35,否,广东,深圳
519,女,19,是,安徽,合肥
520,男,32,是,江西,上饶
521,男,22,是,重庆,重庆
522,女,53,否,江西,南昌
523,男,22,否,内蒙古,呼和浩特
524,女,34,否,江苏,南通
525,女,54,否,浙江,金华
526,男,24,否,天津,天津
527,男,43,否,广东,佛山
528,男,41,否,福建,福州
529,女,34,是,广东,佛山
530,女,33,是,江苏,南京
531,男,31,否,天津,天津
532,男,23,否,山东,临沂
533,女,31,否,湖北,荆州
534,女,20,否,贵州,遵义
535,男,27,是,河北,保定
536,男,25,否,吉林,吉林
537,男,31,否,湖北,襄阳
538,女,28,否,海南,儋州
539,男,43,否,浙江,宁波
540,男,20,否,福建,漳州
541,男,26,否,辽宁,鞍山
542,女,19,是,湖北,武汉
543,女,33,是,山东,济南
544,女,54,是,浙江,温州
545,女,18,是,黑龙江,哈尔滨
546,女,53,否,天津,天津
547,男,30,是,海南,三亚
548,男,39,是,云南,大理
549,男,19,否,江苏,苏州
550,男,36,否,天津,天津
551,男,40,否,河北,保定
552,女,34,是,陕西,渭南
553,男,31,否,贵州,遵义
554,男,31,否,四川,乐山
555,男,22,是,江苏,常州
556,女,31,是,江苏,苏州
557,女,38,是,宁夏,银川
558,男,21,是,新疆,喀什
559,女,39,是,内蒙古,呼和浩特
560,男,24,是,山西,太原
561,女,20,否,海南,三亚
562,女,24,否,安徽,芜湖
563,女,41,否,河南,洛阳
564,女,34,是,新疆,乌鲁木齐
565,男,29,否,安徽,安庆
566,女,40,否,陕西,渭南
567,男,37,否,重庆,重庆
568,女,18,否,河南,郑州
569,女,26,是,安徽,合肥
570,男,20,是,广东,珠海
571,女,42,否,辽宁,鞍山
572,男,53,是,江西,上饶
573,女,52,否,黑龙江,大庆
574,女,20,是,陕西,宝鸡
575,女,32,否,河南,郑州
576,男,43,是,湖北,荆州
577,男,41,否,浙江,杭州
578,男,34,否,天津,天津
579,女,18,是,山东,威海
580,女,18,是,宁夏,银川
581,男,19,否,广西,桂林
582,男,30,是,黑龙江,大庆
583,男,21,是,河南,洛阳
584,男,24,否,湖北,荆州
585,男,23,否,陕西,宝鸡
586,女,47,否,北京,北京
587,女,18,否,浙江,杭州
588,女,27,否,江西,上饶
589,女,27,是,上海,上海
590,女,45,是,重庆,重庆
591,男,33,否,云南,曲靖
592,女,39,否,河北,廊坊
593,女,19,否,四川,宜宾
594,男,19,是,吉林,延边
595,男,43,是,江苏,南京
596,女,43,否,江苏,常州
597,女,30,是,陕西,西安
598,男,18,是,河北,石家庄
599,女,33,否,江西,南昌
600,男,19,否,海南,海口
601,男,31,否,黑龙江,哈尔滨
602,男,36,否,宁夏,银川
603,男,28,是,重庆,重庆
604,女,44,是,河南,许昌
605,女,27,否,安徽,蚌埠
606,女,40,否,辽宁,大连
607,女,32,是,湖北,武汉
608,男,28,是,四川,南充
609,女,20,是,江西,九江
610,女,21,否,浙江,杭州
611,女,44,否,上海,上海
612,女,18,否,四川,宜宾
613,男,38,否,山西,太原
614,女,30,否,广东,珠海
615,女,54,否,上海,上海
616,女,20,是,辽宁,沈阳
617,女,22,是,天津,天津
618,男,34,是,安徽,芜湖
619,女,40,否,江西,南昌
620,男,34,否,贵州,贵阳
621,男,48,是,福建,福州
622,男,22,否,内蒙古,包头
623,男,32,是,江苏,南通
624,女,34,否,广东,中山
625,女,20,是,天津,天津
626,男,23,是,山西,临汾
627,男,53,否,上海,上海
628,男,22,否,辽宁,沈阳
629,女,31,否,北京,北京
630,女,22,是,上海,上海
631,女,20,否,重庆,重庆
632,女,19,是,四川,乐山
633,男,19,否,天津,天津
634,男,27,否,辽宁,大连
635,男,24,否,广西,柳州
636,女,29,是,江苏,苏州
637,女,34,是,浙江,杭州
638,女,24,否,广西,柳州
639,女,27,是,浙江,金华
640,女,23,否,贵州,贵阳
641,女,42,否,内蒙古,呼和浩特
642,男,31,否,湖北,武汉
643,女,25,否,浙江,绍兴
644,男,33,否,宁夏,银川
645,女,39,是,湖南,长沙
646,女,22,是,贵州,安顺
647,女,32,是,河南,洛阳
648,男,36,是,天津,天津
649,女,43,否,广东,珠海
650,男,54,否,内蒙古,呼和浩特
651,女,32,是,江苏,苏州
652,女,25,否,河北,唐山
653,女,32,是,安徽,芜湖
654,男,19,是,福建,厦门
655,女,45,是,西藏,拉萨
656,女,40,否,上海,上海
657,女,41,否,上海,上海
658,女,31,否,天津,天津
659,男,34,否,青海,海东
660,女,22,否,福建,厦门
661,女,44,是,山东,青岛
662,男,26,否,江苏,南通
663,男,29,是,上海,上海
664,女,36,否,福建,福州
665,女,45,否,河北,廊坊
666,女,41,否,上海,上海
667,女,25,是,天津,天津
668,男,18,是,福建,厦门
669,女,18,否,云南,丽江
670,女,40,是,海南,海口
671,男,24,是,江苏,南京
672,男,43,是,福建,漳州
673,男,36,否,海南,儋州
674,男,25,否,江西,南昌
675,男,24,否,四川,乐山
676,女,20,是,四川,宜宾
677,女,22,否,上海,上海
678,女,23,否,江西,九江
679,女,25,是,河南,郑州
680,男,21,是,江西,上饶
681,男,52,否,上海,上海
682,女,32,是,海南,海口
683,女,23,是,内蒙古,包头
684,男,18,是,河南,洛阳
685,女,27,否,湖北,武汉
686,男,43,是,江西,九江
687,女,19,否,江西,上饶
688,女,28,是,天津,天津
689,女,26,否,江苏,常州
690,男,34,否,湖北,荆州
691,男,35,否,重庆,重庆
692,女,32,是,天津,天津
693,女,51,否,甘肃,兰州
694,女,39,是,新疆,乌鲁木齐
695,女,20,否,浙江,绍兴
696,女,41,是,辽宁,大连
697,男,30,否,广东,中山
698,男,18,是,内蒙古,鄂尔多斯
699,男,23,否,内蒙古,鄂尔多斯
700,女,33,否,湖北,宜昌
701,男,28,否,山东,临沂
702,男,54,是,福建,漳州
703,男,23,否,宁夏,银川
704,男,53,否,河南,许昌
705,女,29,是,北京,北京
706,女,34,是,西藏,拉萨
707,男,18,否,山东,青岛
708,男,44,是,江西,九江
709,女,38,是,黑龙江,哈尔滨
710,男,54,否,广东,佛山
711,男,27,是,云南,丽江
712,女,36,是,河南,许昌
713,男,31,是,广东,佛山
714,女,30,否,天津,天津
715,女,51,否,重庆,重庆
716,女,39,否,湖北,宜昌
717,女,27,是,北京,北京
718,女,20,是,北京,北京
719,男,46,否,广东,珠海
720,男,37,是,河南,郑州
721,女,30,是,黑龙江,大庆
722,男,24,是,湖南,衡阳
723,男,24,是,安徽,合肥
724,女,35,否,广东,中山
725,男,29,是,四川,宜宾
726,女,31,否,黑龙江,哈尔滨
727,男,32,是,陕西,咸阳
728,女,26,是,山西,临汾
729,女,39,否,江苏,南京
730,女,32,否,广东,深圳
731,男,26,否,重庆,重庆
732,女,45,是,上海,上海
733,男,43,是,天津,天津
734,男,42,否,河南,郑州
735,男,23,是,四川,成都
736,男,36,否,上海,上海
737,男,19,是,吉林,延边
738,男,28,否,江西,赣州
739,女,21,是,福建,厦门
740,男,24,否,安徽,芜湖
741,女,18,是,上海,上海
742,女,28,是,山东,威海
743,男,25,否,广西,南宁
744,女,19,是,西藏,拉萨
745,男,28,是,江苏,苏州
746,女,23,否,北京,北京
747,女,22,否,贵州,贵阳
748,男,47,是,北京,北京
749,男,44,否,湖南,湘潭
750,男,26,是,湖北,宜昌
751,男,22,是,新疆,乌鲁木齐
752,女,20,是,广西,柳州
753,女,24,是,湖南,湘潭
754,女,34,否,江西,九江
755,女,38,否,山西,临汾
756,女,38,是,湖南,株洲
757,男,25,是,河南,郑州
758,女,26,是,浙江,绍兴
759,男,20,是,西藏,拉萨
760,女,21,否,云南,昆明
761,男,40,否,天津,天津
762,男,24,是,海南,儋州
763,男,36,否,四川,成都
764,女,36,是,河南,郑州
765,男,26,否,贵州,贵阳
766,男,29,否,湖南,长沙
767,女,33,否,广东,中山
768,女,30,否,海南,海口
769,女,21,否,山东,济南
770,女,19,是,内蒙古,鄂尔多斯
771,女,32,否,北京,北京
772,男,43,否,湖北,襄阳
773,女,34,是,黑龙江,哈尔滨
774,女,35,是,山东,青岛
775,女,19,否,天津,天津
776,男,20,否,湖南,湘潭
777,男,30,是,河南,洛阳
778,男,51,否,贵州,遵义
779,女,29,否,云南,大理
780,女,32,否,广东,珠海
781,男,28,是,上海,上海
782,男,39,是,上海,上海
783,男,34,否,海南,儋州
784,男,41,是,福建,泉州
785,女,53,是,广西,北海
786,女,23,否,湖南,衡阳
787,男,20,是,内蒙古,包头
788,女,21,否,山东,青岛
789,男,24,是,辽宁,沈阳
790,女,32,是,黑龙江,哈尔滨
791,女,23,否,湖南,衡阳
792,女,57,否,福建,漳州
793,女,32,否,吉林,吉林
794,男,37,否,广东,佛山
795,男,21,否,宁夏,银川
796,男,27,否,江西,九江
797,女,39,是,天津,天津
798,女,35,是,山东,威海
799,男,19,否,山西,太原
800,男,19,否,河南,新乡
801,女,20,是,吉林,长春
802,男,29,是,广东,广州
803,男,24,是,湖南,株洲
804,男,29,是,四川,成都
805,男,28,是,福建,福州
806,女,50,是,山西,大同
807,男,22,否,陕西,宝鸡
808,男,52,是,江西,上饶
809,女,33,是,广东,东莞
810,男,32,否,天津,天津
811,女,20,是,云南,曲靖
812,女,24,是,山西,运城
813,男,33,否,上海,上海
814,男,37,是,青海,海东
815,女,24,是,河北,保定
816,女,34,否,西藏,日喀则
817,女,20,是,浙江,宁波
818,男,42,否,青海,海东
819,男,43,否,黑龙江,哈尔滨
820,女,29,否,吉林,延边
821,男,58,是,四川,宜宾
822,男,22,否,黑龙江,齐齐哈尔
823,女,23,是,贵州,安顺
824,女,27,否,湖北,荆州
825,女,30,否,山东,济南
826,男,20,是,云南,昆明
827,男,30,是,上海,上海
828,女,26,否,广东,深圳
829,女,23,否,辽宁,抚顺
830,女,30,是,湖北,武汉
831,女,30,是,山东,威海
832,男,43,是,山东,烟台
833,男,29,是,黑龙江,大庆
834,女,39,否,四川,乐山
835,女,34,否,天津,天津
836,女,24,否,河南,许昌
837,女,19,否,贵州,遵义
838,男,31,是,山东,青岛
839,男,26,是,北京,北京
840,女,25,是,山东,济南
841,女,27,否,北京,北京
842,女,26,否,湖北,襄阳
843,男,22,否,海南,儋州
844,女,38,否,贵州,遵义
845,女,38,否,浙江,杭州
846,女,29,否,上海,上海
847,女,28,否,内蒙古,呼和浩特
848,女,35,否,新疆,乌鲁木齐
849,男,21,是,宁夏,石嘴山
850,男,51,否,甘肃,天水
851,男,24,否,甘肃,酒泉
852,女,39,否,吉林,吉林
853,女,50,否,内蒙古,呼和浩特
854,女,33,否,河南,郑州
855,女,37,是,江苏,无锡
856,男,19,否,宁夏,银川
857,女,27,是,天津,天津
858,女,21,否,内蒙古,呼和浩特
859,男,54,否,新疆,克拉玛依
860,男,22,是,山东,济南
861,女,42,否,河北,唐山
862,女,41,是,山西,大同
863,男,20,是,河南,洛阳
864,女,21,是,四川,宜宾
865,女,22,是,四川,绵阳
866,女,56,是,河北,廊坊
867,女,27,否,辽宁,大连
868,女,52,是,四川,乐山
869,女,18,否,河北,保定
870,女,29,否,湖南,株洲
871,女,37,否,甘肃,酒泉
872,男,18,是,江苏,常州
873,女,20,否,辽宁,抚顺
874,男,18,是,山东,青岛
875,男,25,否,辽宁,抚顺
876,男,23,是,福建,福州
877,女,42,是,宁夏,银川
878,男,32,是,广西,桂林
879,男,39,是,上海,上海
880,女,20,是,宁夏,石嘴山
881,男,24,是,重庆,重庆
882,女,39,否,安徽,蚌埠
883,女,31,是,辽宁,抚顺
884,女,44,是,重庆,重庆
885,女,48,否,广西,北海
886,男,21,是,黑龙江,大庆
887,男,29,否,陕西,咸阳
